env_id,model_label,seed,support_class,reliability_auc,catastrophe_prob_t0p5,cvar20
Walker2d-v5,klprho0p05,23,direct_support,0.5417761083336388,0.4809523809523809,0.029116159054999795
Walker2d-v5,klprho0p05,23,out_of_support,0.8733886928800897,0.11851851851851852,0.6987329979593613
Walker2d-v5,klprho0p05,23,related_physics,0.7592772418004626,0.23862433862433863,0.3926169086941164
Walker2d-v5,klprho0p05,24,direct_support,0.36831533024499774,0.6547619047619048,0.02944194081345624
Walker2d-v5,klprho0p05,24,out_of_support,0.7030286195117083,0.2111111111111111,0.46065383123569376
Walker2d-v5,klprho0p05,24,related_physics,0.6115094359737113,0.3619047619047619,0.2826579459230053
Walker2d-v5,klprho0p05,25,direct_support,0.7499093534514196,0.23809523809523808,0.14302129509984077
Walker2d-v5,klprho0p05,25,out_of_support,0.9231957846095225,0.08888888888888889,0.9329990782624586
Walker2d-v5,klprho0p05,25,related_physics,0.8600130108251113,0.12380952380952381,0.5239497892851426
Walker2d-v5,klprho0p05,26,direct_support,0.41537886447626693,0.55,0.02151179217342158
Walker2d-v5,klprho0p05,26,out_of_support,0.8476866277475822,0.15185185185185182,0.6667792166327569
Walker2d-v5,klprho0p05,26,related_physics,0.7411535716364747,0.27989417989417986,0.398829455489426
Walker2d-v5,klprho0p05,27,direct_support,0.5468437739879979,0.5166666666666666,0.055485116906831014
Walker2d-v5,klprho0p05,27,out_of_support,0.8174440032546946,0.1888888888888889,0.5762232341778866
Walker2d-v5,klprho0p05,27,related_physics,0.7775744967807499,0.22433862433862434,0.39774730094974103
Walker2d-v5,klprho0p05,28,direct_support,0.3939324597380226,0.5857142857142856,0.020597699885158298
Walker2d-v5,klprho0p05,28,out_of_support,0.727132993542373,0.2,0.5024792802750017
Walker2d-v5,klprho0p05,28,related_physics,0.5885628353199597,0.3708994708994709,0.26794736544951814
Walker2d-v5,klprho0p05,29,direct_support,0.3401063152239482,0.6547619047619048,0.018158826215773107
Walker2d-v5,klprho0p05,29,out_of_support,0.6582785790683826,0.2074074074074074,0.4669414371146472
Walker2d-v5,klprho0p05,29,related_physics,0.611960291208772,0.2671957671957672,0.3615075717738642
Walker2d-v5,klprho0p05,30,direct_support,0.45218895460560415,0.5523809523809524,0.028334535024711865
Walker2d-v5,klprho0p05,30,out_of_support,0.8325547377257848,0.1222222222222222,0.6075681541240336
Walker2d-v5,klprho0p05,30,related_physics,0.6808094009030308,0.308994708994709,0.33733158863438767
Walker2d-v5,klprho0p05,31,direct_support,0.5984079283544719,0.4119047619047619,0.04389504684862171
Walker2d-v5,klprho0p05,31,out_of_support,0.8790512094790649,0.11851851851851852,0.6852012638547181
Walker2d-v5,klprho0p05,31,related_physics,0.8082509779871864,0.2015873015873016,0.49785915685074034
Walker2d-v5,klprho0p05,32,direct_support,0.49841294292178484,0.5166666666666666,0.04018198872193666
Walker2d-v5,klprho0p05,32,out_of_support,0.8798830692360536,0.1148148148148148,0.7745413577661091
Walker2d-v5,klprho0p05,32,related_physics,0.800939650947978,0.19523809523809524,0.501201104269358
Walker2d-v5,klprho0p05,33,direct_support,0.448317016287365,0.6190476190476191,0.05530345159141553
Walker2d-v5,klprho0p05,33,out_of_support,0.8191549720878145,0.2037037037037037,0.6300979656938808
Walker2d-v5,klprho0p05,33,related_physics,0.7837999375114832,0.19788359788359788,0.5563761857332231
Walker2d-v5,klprho0p05,34,direct_support,0.3975285617715556,0.6523809523809523,0.037299846981415044
Walker2d-v5,klprho0p05,34,out_of_support,0.7805485277307482,0.17037037037037037,0.5254708756357565
Walker2d-v5,klprho0p05,34,related_physics,0.644382479437157,0.30052910052910053,0.2906046049853291
Walker2d-v5,klprho0p05,35,direct_support,0.4830824154931581,0.55,0.027645710410493983
Walker2d-v5,klprho0p05,35,out_of_support,0.8072440704250496,0.20000000000000004,0.644169428453165
Walker2d-v5,klprho0p05,35,related_physics,0.8065981636242425,0.182010582010582,0.6108582545363678
Walker2d-v5,vanilla,6,direct_support,0.4007284716742676,0.6190476190476191,0.019704956525510547
Walker2d-v5,vanilla,6,out_of_support,0.7807998580291193,0.23333333333333334,0.4978693906674705
Walker2d-v5,vanilla,6,related_physics,0.6727826366346008,0.3015873015873016,0.3181364011494839
Walker2d-v5,vanilla,7,direct_support,0.3517985788187614,0.6904761904761905,0.03499828326413085
Walker2d-v5,vanilla,7,out_of_support,0.7940858248115716,0.17407407407407408,0.5724795184774636
Walker2d-v5,vanilla,7,related_physics,0.6661995070462553,0.3111111111111111,0.3960795712375678
Walker2d-v5,vanilla,8,direct_support,0.32807071731098814,0.6547619047619048,0.03080117920422073
Walker2d-v5,vanilla,8,out_of_support,0.6575468640753999,0.17777777777777778,0.4959518592723096
Walker2d-v5,vanilla,8,related_physics,0.6176317165656644,0.21216931216931217,0.41355580112253854
Walker2d-v5,vanilla,9,direct_support,0.40523508526310015,0.6214285714285714,0.037318382047755845
Walker2d-v5,vanilla,9,out_of_support,0.7880525242903074,0.1703703703703704,0.5695874133434649
Walker2d-v5,vanilla,9,related_physics,0.7333782345277666,0.23597883597883598,0.4587684819416378
Walker2d-v5,vanilla,10,direct_support,0.5123023410814779,0.4809523809523809,0.02773721010761549
Walker2d-v5,vanilla,10,out_of_support,0.8488520993740075,0.15185185185185185,0.6767381856829646
Walker2d-v5,vanilla,10,related_physics,0.7248250107584985,0.2947089947089947,0.3430695563105106
Walker2d-v5,vanilla,11,direct_support,0.4889787711884086,0.5857142857142856,0.023497885742127786
Walker2d-v5,vanilla,11,out_of_support,0.8472004324690752,0.16666666666666666,0.6729299296980348
Walker2d-v5,vanilla,11,related_physics,0.7405777704401484,0.2714285714285714,0.37148236756073055
Walker2d-v5,vanilla,12,direct_support,0.4410491951153265,0.55,0.051969573215706416
Walker2d-v5,vanilla,12,out_of_support,0.7899078507862506,0.2074074074074074,0.5040660072453893
Walker2d-v5,vanilla,12,related_physics,0.6785917989567369,0.3169312169312169,0.3027102593996531
Walker2d-v5,vanilla,13,direct_support,0.5558041841428687,0.4452380952380952,0.0425916583841241
Walker2d-v5,vanilla,13,out_of_support,0.864595963730735,0.14444444444444446,0.6683473734213327
Walker2d-v5,vanilla,13,related_physics,0.7870696420050695,0.2164021164021164,0.4646600943375215
Walker2d-v5,vanilla,14,direct_support,0.21346779981425223,0.861904761904762,0.02340357252844103
Walker2d-v5,vanilla,14,out_of_support,0.7975134610818427,0.2111111111111111,0.5288325280490002
Walker2d-v5,vanilla,14,related_physics,0.5779982981256863,0.4486772486772487,0.2607970019123817
Walker2d-v5,vanilla,15,direct_support,0.47643203736921325,0.55,0.03890820407181749
Walker2d-v5,vanilla,15,out_of_support,0.786817957791414,0.15185185185185185,0.5930011156451998
Walker2d-v5,vanilla,15,related_physics,0.6913752532305906,0.2634920634920635,0.3754051730628962
Walker2d-v5,vanilla,16,direct_support,0.4793920739486499,0.5166666666666666,0.03009293620343772
Walker2d-v5,vanilla,16,out_of_support,0.7688720192668639,0.23333333333333334,0.504763174007065
Walker2d-v5,vanilla,16,related_physics,0.6980653910689428,0.2777777777777778,0.3561255785657104
Walker2d-v5,vanilla,17,direct_support,0.5055247640986962,0.4809523809523809,0.037651703364387286
Walker2d-v5,vanilla,17,out_of_support,0.8190611467250933,0.12962962962962965,0.6037483533022034
Walker2d-v5,vanilla,17,related_physics,0.7459006808771558,0.20846560846560847,0.3917923848614145
Walker2d-v5,vanilla,18,direct_support,0.5249099176072644,0.4809523809523809,0.03415114743017159
Walker2d-v5,vanilla,18,out_of_support,0.8569661160558866,0.13333333333333333,0.7421933133786762
Walker2d-v5,vanilla,18,related_physics,0.7818765904094834,0.2417989417989418,0.42059771536843527
Walker2d-v5,vanilla,19,direct_support,0.4122098833765827,0.55,0.009349666876089142
Walker2d-v5,vanilla,19,out_of_support,0.7166683012359235,0.2222222222222222,0.4742619968707966
Walker2d-v5,vanilla,19,related_physics,0.6416784559229328,0.2862433862433862,0.3412599747498318
Walker2d-v5,vanilla,20,direct_support,0.4400632294316116,0.55,0.030915046348152772
Walker2d-v5,vanilla,20,out_of_support,0.8208116007121127,0.17777777777777778,0.5862404979156939
Walker2d-v5,vanilla,20,related_physics,0.7286749670476094,0.27989417989417986,0.4017116540820329
Walker2d-v5,vanilla,21,direct_support,0.5440914985192766,0.4452380952380952,0.03761618612423601
Walker2d-v5,vanilla,21,out_of_support,0.8692688937131299,0.11851851851851852,0.6616004209786436
Walker2d-v5,vanilla,21,related_physics,0.7695731057147239,0.20952380952380953,0.4503936166104974
Walker2d-v5,vanilla,22,direct_support,0.5175717049643699,0.4809523809523809,0.02797727391404386
Walker2d-v5,vanilla,22,out_of_support,0.8232574896378767,0.14444444444444443,0.5921973353652336
Walker2d-v5,vanilla,22,related_physics,0.7186933788404954,0.23968253968253966,0.31720751586027496
Walker2d-v5,vanilla,23,direct_support,0.49891086984425925,0.4809523809523809,0.03707617059151975
Walker2d-v5,vanilla,23,out_of_support,0.8598599635520389,0.09629629629629628,0.6574369692109894
Walker2d-v5,vanilla,23,related_physics,0.7353130765622446,0.2470899470899471,0.417832227177403
Walker2d-v5,vanilla,24,direct_support,0.3750803671076489,0.6523809523809523,0.017551451812905627
Walker2d-v5,vanilla,24,out_of_support,0.7455546768676881,0.15555555555555556,0.5290994705140961
Walker2d-v5,vanilla,24,related_physics,0.5800899571631689,0.4005291005291005,0.20230312834627076
Walker2d-v5,vanilla,25,direct_support,0.476990675748461,0.5166666666666666,0.025338503245131948
Walker2d-v5,vanilla,25,out_of_support,0.8304271306010185,0.17777777777777778,0.6822707112000512
Walker2d-v5,vanilla,25,related_physics,0.7082029629559813,0.3015873015873016,0.35963849234205664
Walker2d-v5,vanilla,26,direct_support,0.5108035161859252,0.4809523809523809,0.02520206593549581
Walker2d-v5,vanilla,26,out_of_support,0.8263626747602407,0.2,0.6794264720064365
Walker2d-v5,vanilla,26,related_physics,0.7644226492489032,0.23968253968253966,0.44868825118344585
Walker2d-v5,vanilla,27,direct_support,0.38776160278578997,0.6190476190476191,0.02035504866524183
Walker2d-v5,vanilla,27,out_of_support,0.7263405595243597,0.21481481481481482,0.4534234271908794
