env_id,model_label,threshold,survival,baseline_survival,survival_delta
Walker2d-v5,klprho0p05,0.36,0.7069047619047619,0.7761666666666667,-0.06926190476190476
Walker2d-v5,klprho0p05,0.365,0.7047619047619047,0.7758174603174604,-0.07105555555555557
Walker2d-v5,klprho0p05,0.37,0.7035238095238096,0.7741746031746032,-0.07065079365079364
Walker2d-v5,klprho0p05,0.375,0.7020396825396825,0.7733730158730159,-0.07133333333333332
Walker2d-v5,klprho0p05,0.38,0.7002063492063492,0.7725238095238095,-0.07231746031746031
Walker2d-v5,klprho0p05,0.385,0.6972777777777778,0.7709444444444444,-0.07366666666666666
Walker2d-v5,klprho0p05,0.39,0.6953571428571428,0.7694841269841269,-0.07412698412698412
Walker2d-v5,klprho0p05,0.395,0.6930555555555555,0.7691507936507936,-0.0760952380952381
Walker2d-v5,klprho0p05,0.4,0.6910555555555555,0.7685714285714286,-0.07751587301587301
Walker2d-v5,klprho0p05,0.405,0.6897380952380953,0.767547619047619,-0.0778095238095238
Walker2d-v5,klprho0p05,0.41000000000000003,0.6888095238095239,0.7669603174603175,-0.07815079365079365
Walker2d-v5,klprho0p05,0.41500000000000004,0.6876746031746032,0.766063492063492,-0.0783888888888889
Walker2d-v5,klprho0p05,0.42,0.6862936507936508,0.7650476190476191,-0.07875396825396827
Walker2d-v5,klprho0p05,0.425,0.6844206349206349,0.7637698412698413,-0.07934920634920636
Walker2d-v5,klprho0p05,0.43,0.6823809523809523,0.7617698412698413,-0.0793888888888889
Walker2d-v5,klprho0p05,0.435,0.6812539682539682,0.7604444444444445,-0.07919047619047619
Walker2d-v5,klprho0p05,0.44,0.6792301587301587,0.7594285714285715,-0.08019841269841269
Walker2d-v5,klprho0p05,0.445,0.6777539682539683,0.7587857142857143,-0.08103174603174602
Walker2d-v5,klprho0p05,0.45,0.6768492063492063,0.7576349206349207,-0.08078571428571427
Walker2d-v5,klprho0p05,0.455,0.6755873015873016,0.7566587301587301,-0.08107142857142854
Walker2d-v5,klprho0p05,0.46,0.6741746031746032,0.7555793650793651,-0.0814047619047619
Walker2d-v5,klprho0p05,0.465,0.6729920634920635,0.7536507936507937,-0.08065873015873012
Walker2d-v5,klprho0p05,0.47000000000000003,0.6713333333333333,0.7523650793650793,-0.08103174603174604
Walker2d-v5,klprho0p05,0.47500000000000003,0.669952380952381,0.7504047619047619,-0.08045238095238096
